title,pdf_url,arxiv_url,code_available,code_url
"SVGBuilder: Component-Based Colored SVG Generation with Text-Guided Autoregressive Transformers",,,no,
"EvHDR-GS: Event-guided HDR Video Reconstruction with 3D Gaussian Splatting",,,no,
"EvHDR-NeRF: Building High Dynamic Range Radiance Fields with Single Exposure Images and Events",,,no,
"VFM-Adapter: Adapting Visual Foundation Models for Dense Prediction with Dynamic Hybrid Operation Mapping",,,maybe,
"VersaGen: Unleashing Versatile Visual Control for Text-to-Image Synthesis",,,no,
"EchoMimic: Lifelike Audio-Driven Portrait Animations through Editable Landmark Conditions",,,maybe,
"Spatiotemporal Blind-Spot Network with Calibrated Flow Alignment for Self-Supervised Video Denoising",,,no,
"Filter or Compensate: Towards Invariant Representation from Distribution Shift for Anomaly Detection",,,no,
"Gradient Alignment Improves Test-Time Adaptation for Medical Image Segmentation",,,no,
"ResAdapter: Domain Consistent Resolution Adapter for Diffusion Models",,,no,
"3DPGS: 3D Probabilistic Graph Search for Archaeological Piece Grouping",,,no,
"Effective Diffusion Transformer Architecture for Image Super-Resolution",,,no,
"DIDiffGes: Decoupled Semi-Implicit Diffusion Models for Real-time Gesture Generation from Speech",,,no,
"Graphic Design with Large Multimodal Model",,,no,
"Aligning Instance Brownian Bridge with Texts for Open-Vocabulary Video Instance Segmentation",,,no,
"Bridge 2D-3D: Uncertainty-aware Hierarchical Registration Network with Domain Alignment",,,no,
"Ambiguity-Restrained Text-Video Representation Learning for Partially Relevant Video Retrieval",,,no,
"Zero-Shot Scene Change Detection",,,no,
"Enhancing Robustness in Incremental Learning with Adversarial Training",,,no,
"Elevating Flow-Guided Video Inpainting with Reference Generation",,,no,
"Distribution-Level Feature Distancing for Machine Unlearning: Towards a Better Trade-off Between Model Utility and Forgetting",,,no,
"SIDL: A Real-World Dataset for Restoring Smartphone Images with Dirty Lenses",,,no,
"Intrinsic Image Decomposition for Robust Self-supervised Monocular Depth Estimation on Reflective Surfaces",,,no,
"DynASyn: Multi-Subject Personalization Enabling Dynamic Action Synthesis",,,no,
"Digging into Intrinsic Contextual Information for High-fidelity 3D Point Cloud Completion",,,no,
"What to Preserve and What to Transfer: Faithful; Identity-Preserving Diffusion-based Hairstyle Transfer",,,no,
"MASS: Overcoming Language Bias in Image-Text Matching",,,no,
"AttackBench: Evaluating Gradient-based Attacks for Adversarial Examples",,,maybe,
"LOMA: Language-assisted Semantic Occupancy Network via Triplane Mamba",,,maybe,
"Multi-task Visual Grounding with Coarse-to-Fine Consistency Constraints",,,no,
"DCSF-KD: Dynamic Channel-wise Spatial Feature Knowledge Distillation for Object Detection",,,no,
"GCD-Sampling: A General Cross-scale Decoupled Sampling for Point Cloud",,,no,
"Harmonious Music-driven Group Choreography with Trajectory-Controllable Diffusion",,,no,
"Self-Corrected Flow Distillation for Consistent One-Step and Few-Step Image Generation",,,no,
"PIXELS: Progressive Image Xemplar-based Editing with Latent Surgery",,,maybe,
"Single Exposure Quantitative Phase Imaging with a Conventional Microscope Using Diffusion Models",,,no,
"Deep Non-Rigid Structure-from-Motion Revisited: Canonicalization and Sequence Modeling",,,no,
"DiffCorr: Conditional Diffusion Model with Reliable Pseudo-Label Guidance for Unsupervised Point Cloud Shape Correspondence",,,no,
"Adaptive Siamese Masked Autoencoder with Global Optimization for Unsupervised Point Cloud Shape Correspondence",,,maybe,
