title,pdf_url,arxiv_url,code_available,code_url
"Deterministic Image-to-Image Translation via Denoising Brownian Bridge Models with Dual Approximators",https://openaccess.thecvf.com/content/CVPR2025/papers/Xiao_Deterministic_Image-to-Image_Translation_via_Denoising_Brownian_Bridge_Models_with_Dual_CVPR_2025_paper.pdf,,yes,https://github.com/bohan95/dual-app-bridge
"Towards Source-Free Machine Unlearning",https://openaccess.thecvf.com/content/CVPR2025/papers/Ahmed_Towards_Source-Free_Machine_Unlearning_CVPR_2025_paper.pdf,,no,
"Uni4D: Unifying Visual Foundation Models for 4D Modeling from a Single Video",https://openaccess.thecvf.com/content/CVPR2025/papers/Yao_Uni4D_Unifying_Visual_Foundation_Models_for_4D_Modeling_from_a_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.21761,no,
"DynScene: Scalable Generation of Dynamic Robotic Manipulation Scenes for Embodied AI",https://openaccess.thecvf.com/content/CVPR2025/papers/Lee_DynScene_Scalable_Generation_of_Dynamic_Robotic_Manipulation_Scenes_for_Embodied_CVPR_2025_paper.pdf,,no,
"DiffLocks: Generating 3D Hair from a Single Image using Diffusion Models",https://openaccess.thecvf.com/content/CVPR2025/papers/Rosu_DiffLocks_Generating_3D_Hair_from_a_Single_Image_using_Diffusion_CVPR_2025_paper.pdf,http://arxiv.org/abs/2505.06166,maybe,
"Hyperbolic Category Discovery",https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_Hyperbolic_Category_Discovery_CVPR_2025_paper.pdf,http://arxiv.org/abs/2504.06120,no,
"The Language of Motion: Unifying Verbal and Non-verbal Language of 3D Human Motion",https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_The_Language_of_Motion_Unifying_Verbal_and_Non-verbal_Language_of_CVPR_2025_paper.pdf,http://arxiv.org/abs/2412.10523,no,
"CALICO: Part-Focused Semantic Co-Segmentation with Large Vision-Language Models",https://openaccess.thecvf.com/content/CVPR2025/papers/Nguyen_CALICO_Part-Focused_Semantic_Co-Segmentation_with_Large_Vision-Language_Models_CVPR_2025_paper.pdf,http://arxiv.org/abs/2412.19331,no,
"Task Preference Optimization: Improving Multimodal Large Language Models with Vision Task Alignment",https://openaccess.thecvf.com/content/CVPR2025/papers/Yan_Task_Preference_Optimization_Improving_Multimodal_Large_Language_Models_with_Vision_CVPR_2025_paper.pdf,http://arxiv.org/abs/2412.19326,yes,https://github.com/OpenGVLab/TPO
"Cross-modal Causal Relation Alignment for Video Question Grounding",https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_Cross-modal_Causal_Relation_Alignment_for_Video_Question_Grounding_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.07635,yes,https://github.com/WissingChen/CRA-GQA
"Words or Vision: Do Vision-Language Models Have Blind Faith in Text?",https://openaccess.thecvf.com/content/CVPR2025/papers/Deng_Words_or_Vision_Do_Vision-Language_Models_Have_Blind_Faith_in_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.02199,no,
"Diffusion Renderer: Neural Inverse and Forward Rendering with Video Diffusion Models",https://openaccess.thecvf.com/content/CVPR2025/papers/Liang_Diffusion_Renderer_Neural_Inverse_and_Forward_Rendering_with_Video_Diffusion_CVPR_2025_paper.pdf,,no,
"Harnessing Frequency Spectrum Insights for Image Copyright Protection Against Diffusion Models",https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_Harnessing_Frequency_Spectrum_Insights_for_Image_Copyright_Protection_Against_Diffusion_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.11071,no,
