title,pdf_url,arxiv_url,code_available,code_url
"kh: Symmetry Understanding of 3D Shapes via Chirality Disentanglement",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_kh_Symmetry_Understanding_of_3D_Shapes_via_Chirality_Disentanglement_ICCV_2025_paper.pdf,,no,
"Efficient Adaptation of Pre-trained Vision Transformer underpinned by Approximately Orthogonal Fine-Tuning Strategy",https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_Efficient_Adaptation_of_Pre-trained_Vision_Transformer_underpinned_by_Approximately_Orthogonal_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.13260,maybe,
"MM-IFEngine: Towards Multimodal Instruction Following",https://openaccess.thecvf.com/content/ICCV2025/papers/Ding_MM-IFEngine_Towards_Multimodal_Instruction_Following_ICCV_2025_paper.pdf,,no,
"Who is a Better Talker: Subjective and Objective Quality Assessment for AI-Generated Talking Heads",https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_Who_is_a_Better_Talker_Subjective_and_Objective_Quality_Assessment_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.23343,yes,https://github.com/zyj-2000/Talker
"LayerAnimate: Layer-level Control for Animation",https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_LayerAnimate_Layer-level_Control_for_Animation_ICCV_2025_paper.pdf,http://arxiv.org/abs/2501.08295,maybe,
"Towards a Unified Copernicus Foundation Model for Earth Vision",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Towards_a_Unified_Copernicus_Foundation_Model_for_Earth_Vision_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.11849,yes,https://github.com/zhu-xlab/Copernicus-FM
"ROADWork: A Dataset and Benchmark for Learning to Recognize; Observe; Analyze and Drive Through Work Zones",https://openaccess.thecvf.com/content/ICCV2025/papers/Ghosh_ROADWork_A_Dataset_and_Benchmark_for_Learning_to_Recognize_Observe_ICCV_2025_paper.pdf,,no,
"Gradient Decomposition and Alignment for Incremental Object Detection",https://openaccess.thecvf.com/content/ICCV2025/papers/Luo_Gradient_Decomposition_and_Alignment_for_Incremental_Object_Detection_ICCV_2025_paper.pdf,,no,
"One Polyp Identifies All: One-Shot Polyp Segmentation with SAM via Cascaded Priors and Iterative Prompt Evolution",https://openaccess.thecvf.com/content/ICCV2025/papers/Mao_One_Polyp_Identifies_All_One-Shot_Polyp_Segmentation_with_SAM_via_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.16337,no,
"Gradient Extrapolation for Debiased Representation Learning",https://openaccess.thecvf.com/content/ICCV2025/papers/Asaad_Gradient_Extrapolation_for_Debiased_Representation_Learning_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.13236,no,
"From Gaze to Movement: Predicting Visual Attention for Autonomous Driving Human-Machine Interaction based on Programmatic Imitation Learning",https://openaccess.thecvf.com/content/ICCV2025/papers/Huang_From_Gaze_to_Movement_Predicting_Visual_Attention_for_Autonomous_Driving_ICCV_2025_paper.pdf,,no,
"Less-to-More Generalization: Unlocking More Controllability by In-Context Generation",https://openaccess.thecvf.com/content/ICCV2025/papers/Wu_Less-to-More_Generalization_Unlocking_More_Controllability_by_In-Context_Generation_ICCV_2025_paper.pdf,http://arxiv.org/abs/2504.02160,yes,https://github.com/bytedance/UNO
"Improving Large Vision and Language Models by Learning from a Panel of Peers",https://openaccess.thecvf.com/content/ICCV2025/papers/Hernandez_Improving_Large_Vision_and_Language_Models_by_Learning_from_a_ICCV_2025_paper.pdf,http://arxiv.org/abs/2509.01610,no,
"Federated Representation Angle Learning",https://openaccess.thecvf.com/content/ICCV2025/papers/Yi_Federated_Representation_Angle_Learning_ICCV_2025_paper.pdf,,no,
"Why LVLMs Are More Prone to Hallucinations in Longer Responses: The Role of Context",https://openaccess.thecvf.com/content/ICCV2025/papers/Zheng_Why_LVLMs_Are_More_Prone_to_Hallucinations_in_Longer_Responses_ICCV_2025_paper.pdf,,no,
"Training-Free Personalization via Retrieval and Reasoning on Fingerprints",https://openaccess.thecvf.com/content/ICCV2025/papers/Das_Training-Free_Personalization_via_Retrieval_and_Reasoning_on_Fingerprints_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.18623,no,
"How Far are AI-generated Videos from Simulating the 3D Visual World: A Learned 3D Evaluation Approach",https://openaccess.thecvf.com/content/ICCV2025/papers/Chang_How_Far_are_AI-generated_Videos_from_Simulating_the_3D_Visual_ICCV_2025_paper.pdf,http://arxiv.org/abs/2406.19568,no,
"Rethinking Detecting Salient and Camouflaged Objects in Unconstrained Scenes",https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_Rethinking_Detecting_Salient_and_Camouflaged_Objects_in_Unconstrained_Scenes_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.10943,yes,https://github.com/ssecv/USCNet
"OccluGaussian: Occlusion-Aware Gaussian Splatting for Large Scene Reconstruction and Rendering",https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_OccluGaussian_Occlusion-Aware_Gaussian_Splatting_for_Large_Scene_Reconstruction_and_Rendering_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.16177,no,
"VisionMath: Vision-Form Mathematical Problem-Solving",https://openaccess.thecvf.com/content/ICCV2025/papers/Ma_VisionMath_Vision-Form_Mathematical_Problem-Solving_ICCV_2025_paper.pdf,,yes,https://github.com/mengqiDyangge/VisionMath
"Unsupervised RGB-D Point Cloud Registration for Scenes with Low Overlap and Photometric Inconsistency",https://openaccess.thecvf.com/content/ICCV2025/papers/Shou_Unsupervised_RGB-D_Point_Cloud_Registration_for_Scenes_with_Low_Overlap_ICCV_2025_paper.pdf,,no,
"CWNet: Causal Wavelet Network for Low-Light Image Enhancement",https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_CWNet_Causal_Wavelet_Network_for_Low-Light_Image_Enhancement_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.10689,yes,https://github.com/bywlzts/CWNet-Causal-Wavelet-Network
"Demeter: A Parametric Model of Crop Plant Morphology from the Real World",https://openaccess.thecvf.com/content/ICCV2025/papers/Cheng_Demeter_A_Parametric_Model_of_Crop_Plant_Morphology_from_the_ICCV_2025_paper.pdf,,maybe,
"VideoLLaMB: Long Streaming Video Understanding with Recurrent Memory Bridges",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_VideoLLaMB_Long_Streaming_Video_Understanding_with_Recurrent_Memory_Bridges_ICCV_2025_paper.pdf,http://arxiv.org/abs/2409.01071,no,
"Automated Red Teaming for Text-to-Image Models through Feedback-Guided Prompt Iteration with Vision-Language Models",https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_Automated_Red_Teaming_for_Text-to-Image_Models_through_Feedback-Guided_Prompt_Iteration_ICCV_2025_paper.pdf,,yes,https://github.com/Weiww-Xu/FGPI
"CoA-VLA: Improving Vision-Language-Action Models via Visual-Text Chain-of-Affordance",https://openaccess.thecvf.com/content/ICCV2025/papers/Li_CoA-VLA_Improving_Vision-Language-Action_Models_via_Visual-Text_Chain-of-Affordance_ICCV_2025_paper.pdf,,no,
"HiERO: Understanding the Hierarchy of Human Behavior Enhances Reasoning on Egocentric Videos",https://openaccess.thecvf.com/content/ICCV2025/papers/Peirone_HiERO_Understanding_the_Hierarchy_of_Human_Behavior_Enhances_Reasoning_on_ICCV_2025_paper.pdf,http://arxiv.org/abs/2505.12911,yes,https://github.com/sapeirone/hiero
"FVGen: Accelerating Novel-View Synthesis with Adversarial Video Diffusion Distillation",https://openaccess.thecvf.com/content/ICCV2025/papers/Teng_FVGen_Accelerating_Novel-View_Synthesis_with_Adversarial_Video_Diffusion_Distillation_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.06392,maybe,
"ZFusion: Efficient Deep Compositional Zero-shot Learning for Blind Image Super-Resolution with Generative Diffusion Prior",https://openaccess.thecvf.com/content/ICCV2025/papers/Esmaeilzehi_ZFusion_Efficient_Deep_Compositional_Zero-shot_Learning_for_Blind_Image_Super-Resolution_ICCV_2025_paper.pdf,,maybe,
"Doodle Your Keypoints: Sketch-Based Few-Shot Keypoint Detection",https://openaccess.thecvf.com/content/ICCV2025/papers/Maity_Doodle_Your_Keypoints_Sketch-Based_Few-Shot_Keypoint_Detection_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.07994,no,
"Open-Vocabulary Octree-Graph for 3D Scene Understanding",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Open-Vocabulary_Octree-Graph_for_3D_Scene_Understanding_ICCV_2025_paper.pdf,http://arxiv.org/abs/2411.16253,yes,https://github.com/yifeisu/OV-Octree-Graph
"FlexGen: Flexible Multi-View Generation from Text and Image Inputs",https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_FlexGen_Flexible_Multi-View_Generation_from_Text_and_Image_Inputs_ICCV_2025_paper.pdf,http://arxiv.org/abs/2410.10745,no,
"SummDiff: Generative Modeling of Video Summarization with Diffusion",https://openaccess.thecvf.com/content/ICCV2025/papers/Kim_SummDiff_Generative_Modeling_of_Video_Summarization_with_Diffusion_ICCV_2025_paper.pdf,http://arxiv.org/abs/2510.08458,no,
"FlowDPS : Flow-Driven Posterior Sampling for Inverse Problems",https://openaccess.thecvf.com/content/ICCV2025/papers/Kim_FlowDPS__Flow-Driven_Posterior_Sampling_for_Inverse_Problems_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.08136,no,
"Head2Body: Body Pose Generation from Multi-sensory Head-mounted Inputs",https://openaccess.thecvf.com/content/ICCV2025/papers/Tran_Head2Body_Body_Pose_Generation_from_Multi-sensory_Head-mounted_Inputs_ICCV_2025_paper.pdf,,no,
"Closed-Loop Transfer for Weakly-supervised Affordance Grounding",https://openaccess.thecvf.com/content/ICCV2025/papers/Tang_Closed-Loop_Transfer_for_Weakly-supervised_Affordance_Grounding_ICCV_2025_paper.pdf,,no,
"OminiControl: Minimal and Universal Control for Diffusion Transformer",https://openaccess.thecvf.com/content/ICCV2025/papers/Tan_OminiControl_Minimal_and_Universal_Control_for_Diffusion_Transformer_ICCV_2025_paper.pdf,http://arxiv.org/abs/2411.15098,no,
"Zeroth-Order Fine-Tuning of LLMs in Random Subspaces",https://openaccess.thecvf.com/content/ICCV2025/papers/Yu_Zeroth-Order_Fine-Tuning_of_LLMs_in_Random_Subspaces_ICCV_2025_paper.pdf,http://arxiv.org/abs/2410.08989,yes,https://github.com/zimingyy/SubZero
"G2D: Boosting Multimodal Learning with Gradient-Guided Distillation",https://openaccess.thecvf.com/content/ICCV2025/papers/Rakib_G2D_Boosting_Multimodal_Learning_with_Gradient-Guided_Distillation_ICCV_2025_paper.pdf,,yes,https://github.com/rAIson-Lab/G2D
"AIComposer: Any Style and Content Image Composition via Feature Integration",https://openaccess.thecvf.com/content/ICCV2025/papers/Li_AIComposer_Any_Style_and_Content_Image_Composition_via_Feature_Integration_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.20721,yes,https://github.com/sherlhw/AIComposer
"PAN-Crafter: Learning Modality-Consistent Alignment for PAN-Sharpening",https://openaccess.thecvf.com/content/ICCV2025/papers/Do_PAN-Crafter_Learning_Modality-Consistent_Alignment_for_PAN-Sharpening_ICCV_2025_paper.pdf,,no,
"M2SFormer: Multi-Spectral and Multi-Scale Attention with Edge-Aware Difficulty Guidance for Image Forgery Localization",https://openaccess.thecvf.com/content/ICCV2025/papers/Nam_M2SFormer_Multi-Spectral_and_Multi-Scale_Attention_with_Edge-Aware_Difficulty_Guidance_for_ICCV_2025_paper.pdf,http://arxiv.org/abs/2506.20922,maybe,
"Pinco: Position-induced Consistent Adapter for Diffusion Transformer in Foreground-conditioned Inpainting",https://openaccess.thecvf.com/content/ICCV2025/papers/Lu_Pinco_Position-induced_Consistent_Adapter_for_Diffusion_Transformer_in_Foreground-conditioned_Inpainting_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.03812,no,
"ReconDreamer++: Harmonizing Generative and Reconstructive Models for Driving Scene Representation",https://openaccess.thecvf.com/content/ICCV2025/papers/Zhao_ReconDreamer_Harmonizing_Generative_and_Reconstructive_Models_for_Driving_Scene_Representation_ICCV_2025_paper.pdf,,no,
"SyncDiff: Synchronized Motion Diffusion for Multi-Body Human-Object Interaction Synthesis",https://openaccess.thecvf.com/content/ICCV2025/papers/He_SyncDiff_Synchronized_Motion_Diffusion_for_Multi-Body_Human-Object_Interaction_Synthesis_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.20104,no,
"Rethinking Few Shot CLIP Benchmarks: A Critical Analysis in the Inductive Setting",https://openaccess.thecvf.com/content/ICCV2025/papers/Kravets_Rethinking_Few_Shot_CLIP_Benchmarks_A_Critical_Analysis_in_the_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.20834,no,
"Mind the Gap: Aligning Vision Foundation Models to Image Feature Matching",https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_Mind_the_Gap_Aligning_Vision_Foundation_Models_to_Image_Feature_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.10318,no,
"CoStoDet-DDPM: Collaborative Training of Stochastic and Deterministic Models Improves Surgical Workflow Anticipation and Recognition",https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_CoStoDet-DDPM_Collaborative_Training_of_Stochastic_and_Deterministic_Models_Improves_Surgical_ICCV_2025_paper.pdf,,maybe,
"GSOT3D: Towards Generic 3D Single Object Tracking in the Wild",https://openaccess.thecvf.com/content/ICCV2025/papers/Jiao_GSOT3D_Towards_Generic_3D_Single_Object_Tracking_in_the_Wild_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.02129,yes,https://github.com/ailovejinx/GSOT3D
"UnZipLoRA: Separating Content and Style from a Single Image",https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_UnZipLoRA_Separating_Content_and_Style_from_a_Single_Image_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.04465,no,
"What You Have is What You Track: Adaptive and Robust Multimodal Tracking",https://openaccess.thecvf.com/content/ICCV2025/papers/Tan_What_You_Have_is_What_You_Track_Adaptive_and_Robust_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.05899,yes,https://github.com/supertyd/FlexTrack/tree/main
"RareCLIP: Rarity-aware Online Zero-shot Industrial Anomaly Detection",https://openaccess.thecvf.com/content/ICCV2025/papers/He_RareCLIP_Rarity-aware_Online_Zero-shot_Industrial_Anomaly_Detection_ICCV_2025_paper.pdf,,yes,https://github.com/hjf02/RareCLIP
"AdaDCP: Learning an Adapter with Discrete Cosine Prior for Clear-to-Adverse Domain Generalization",https://openaccess.thecvf.com/content/ICCV2025/papers/Bi_AdaDCP_Learning_an_Adapter_with_Discrete_Cosine_Prior_for_Clear-to-Adverse_ICCV_2025_paper.pdf,,no,
"HERMES: A Unified Self-Driving World Model for Simultaneous 3D Scene Understanding and Generation",https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_HERMES_A_Unified_Self-Driving_World_Model_for_Simultaneous_3D_Scene_ICCV_2025_paper.pdf,http://arxiv.org/abs/2501.14729,yes,https://github.com/LMD0311/HERMES
"ArgMatch: Adaptive Refinement Gathering for Efficient Dense Matching",https://openaccess.thecvf.com/content/ICCV2025/papers/Deng_ArgMatch_Adaptive_Refinement_Gathering_for_Efficient_Dense_Matching_ICCV_2025_paper.pdf,,yes,https://github.com/ACuOoOoO/argmatch
"Enhancing Image Restoration Transformer via Adaptive Translation Equivariance",https://openaccess.thecvf.com/content/ICCV2025/papers/Hu_Enhancing_Image_Restoration_Transformer_via_Adaptive_Translation_Equivariance_ICCV_2025_paper.pdf,http://arxiv.org/abs/2506.18520,no,
"Free4D: Tuning-free 4D Scene Generation with Spatial-Temporal Consistency",https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_Free4D_Tuning-free_4D_Scene_Generation_with_Spatial-Temporal_Consistency_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.20785,yes,https://github.com/TQTQliu/Free4D
"Generative Zoo",https://openaccess.thecvf.com/content/ICCV2025/papers/Niewiadomski_Generative_Zoo_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.08101,no,
"Any-SSR: How Recursive Least Squares Works in Continual Learning of Large Language Model",https://openaccess.thecvf.com/content/ICCV2025/papers/Tong_Any-SSR_How_Recursive_Least_Squares_Works_in_Continual_Learning_of_ICCV_2025_paper.pdf,,yes,https://github.com/ZHUANGHP/Any-SSR
"Instruction-Oriented Preference Alignment for Enhancing Multi-Modal Comprehension Capability of MLLMs",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Instruction-Oriented_Preference_Alignment_for_Enhancing_Multi-Modal_Comprehension_Capability_of_MLLMs_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.20309,no,
"RapVerse: Coherent Vocals and Whole-Body Motion Generation from Text",https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_RapVerse_Coherent_Vocals_and_Whole-Body_Motion_Generation_from_Text_ICCV_2025_paper.pdf,http://arxiv.org/abs/2405.20336,no,
"MoFRR: Mixture of Diffusion Models for Face Retouching Restoration",https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_MoFRR_Mixture_of_Diffusion_Models_for_Face_Retouching_Restoration_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.19770,no,
"SFUOD: Source-Free Unknown Object Detection",https://openaccess.thecvf.com/content/ICCV2025/papers/Park_SFUOD_Source-Free_Unknown_Object_Detection_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.17373,maybe,
"UniEgoMotion: A Unified Model for Egocentric Motion Reconstruction; Forecasting; and Generation",https://openaccess.thecvf.com/content/ICCV2025/papers/Patel_UniEgoMotion_A_Unified_Model_for_Egocentric_Motion_Reconstruction_Forecasting_and_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.01126,no,
"ToolVQA: A Dataset for Multi-step Reasoning VQA with External Tools",https://openaccess.thecvf.com/content/ICCV2025/papers/Yin_ToolVQA_A_Dataset_for_Multi-step_Reasoning_VQA_with_External_Tools_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.03284,yes,https://github.com/Fugtemypt123/ToolVQA-release
"Spherical Epipolar Rectification for Deep Two-View Absolute Depth Estimation",https://openaccess.thecvf.com/content/ICCV2025/papers/Brousseau_Spherical_Epipolar_Rectification_for_Deep_Two-View_Absolute_Depth_Estimation_ICCV_2025_paper.pdf,,yes,https://gitlab.com/labv3d/spherical-stereo.git
"ScenePainter: Semantically Consistent Perpetual 3D Scene Generation with Concept Relation Alignment",https://openaccess.thecvf.com/content/ICCV2025/papers/Xia_ScenePainter_Semantically_Consistent_Perpetual_3D_Scene_Generation_with_Concept_Relation_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.19058,no,
"ESCNet:Edge-Semantic Collaborative Network for Camouflaged Object Detection",https://openaccess.thecvf.com/content/ICCV2025/papers/Ye_ESCNetEdge-Semantic_Collaborative_Network_for_Camouflaged_Object_Detection_ICCV_2025_paper.pdf,,no,
"PixelStitch: Structure-Preserving Pixel-Wise Bidirectional Warps for Unsupervised Image Stitching",https://openaccess.thecvf.com/content/ICCV2025/papers/Jin_PixelStitch_Structure-Preserving_Pixel-Wise_Bidirectional_Warps_for_Unsupervised_Image_Stitching_ICCV_2025_paper.pdf,,maybe,
"SANA-Sprint: One-Step Diffusion with Continuous-Time Consistency Distillation",https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_SANA-Sprint_One-Step_Diffusion_with_Continuous-Time_Consistency_Distillation_ICCV_2025_paper.pdf,,maybe,
"Information-Bottleneck Driven Binary Neural Network for Change Detection",https://openaccess.thecvf.com/content/ICCV2025/papers/Yin_Information-Bottleneck_Driven_Binary_Neural_Network_for_Change_Detection_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.03504,no,
"Erasing More Than Intended? How Concept Erasure Degrades the Generation of Non-Target Concepts",https://openaccess.thecvf.com/content/ICCV2025/papers/Amara_Erasing_More_Than_Intended_How_Concept_Erasure_Degrades_the_Generation_ICCV_2025_paper.pdf,http://arxiv.org/abs/2501.09833,no,
"Global and Local Entailment Learning for Natural World Imagery",https://openaccess.thecvf.com/content/ICCV2025/papers/Sastry_Global_and_Local_Entailment_Learning_for_Natural_World_Imagery_ICCV_2025_paper.pdf,http://arxiv.org/abs/2506.21476,maybe,
"Ross3D: Reconstructive Visual Instruction Tuning with 3D-Awareness",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Ross3D_Reconstructive_Visual_Instruction_Tuning_with_3D-Awareness_ICCV_2025_paper.pdf,http://arxiv.org/abs/2504.01901,no,
"LVFace: Progressive Cluster Optimization for Large Vision Models in Face Recognition",https://openaccess.thecvf.com/content/ICCV2025/papers/You_LVFace_Progressive_Cluster_Optimization_for_Large_Vision_Models_in_Face_ICCV_2025_paper.pdf,http://arxiv.org/abs/2501.13420,yes,https://github.com/bytedance/LVFace
"Dataset Ownership Verification for Pre-trained Masked Models",https://openaccess.thecvf.com/content/ICCV2025/papers/Xie_Dataset_Ownership_Verification_for_Pre-trained_Masked_Models_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.12022,yes,https://github.com/xieyc99/DOV4MM
"VLR-Driver: Large Vision-Language-Reasoning Models for Embodied Autonomous Driving",https://openaccess.thecvf.com/content/ICCV2025/papers/Kong_VLR-Driver_Large_Vision-Language-Reasoning_Models_for_Embodied_Autonomous_Driving_ICCV_2025_paper.pdf,,no,
"ResGS: Residual Densification of 3D Gaussian for Efficient Detail Recovery",https://openaccess.thecvf.com/content/ICCV2025/papers/Lyu_ResGS_Residual_Densification_of_3D_Gaussian_for_Efficient_Detail_Recovery_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.07494,no,
"Language Driven Occupancy Prediction",https://openaccess.thecvf.com/content/ICCV2025/papers/Yu_Language_Driven_Occupancy_Prediction_ICCV_2025_paper.pdf,http://arxiv.org/abs/2411.16072,yes,https://github.com/pkqbajng/LOcc
"Prior2Former - Evidential Modeling of Mask Transformers for Assumption-Free Open-World Panoptic Segmentation",https://openaccess.thecvf.com/content/ICCV2025/papers/Schmidt_Prior2Former_-_Evidential_Modeling_of_Mask_Transformers_for_Assumption-Free_Open-World_ICCV_2025_paper.pdf,,no,
"E-NeMF: Event-based Neural Motion Field for Novel Space-time View Synthesis of Dynamic Scenes",https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_E-NeMF_Event-based_Neural_Motion_Field_for_Novel_Space-time_View_Synthesis_ICCV_2025_paper.pdf,,no,
"Event-based Tiny Object Detection: A Benchmark Dataset and Baseline",https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_Event-based_Tiny_Object_Detection_A_Benchmark_Dataset_and_Baseline_ICCV_2025_paper.pdf,http://arxiv.org/abs/2506.23575,yes,https://github.com/ChenYichen9527/Ev-UAV
"Optimal Transport for Brain-Image Alignment: Unveiling Redundancy and Synergy in Neural Information Processing",https://openaccess.thecvf.com/content/ICCV2025/papers/Xiao_Optimal_Transport_for_Brain-Image_Alignment_Unveiling_Redundancy_and_Synergy_in_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.10663,yes,https://github.com/NKUShaw/OT-Alignment4brain-to-image
"Adversarial Distribution Matching for Diffusion Distillation Towards Efficient Image and Video Synthesis",https://openaccess.thecvf.com/content/ICCV2025/papers/Lu_Adversarial_Distribution_Matching_for_Diffusion_Distillation_Towards_Efficient_Image_and_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.18569,no,
"Switch-a-View: View Selection Learned from Unlabeled In-the-wild Videos",https://openaccess.thecvf.com/content/ICCV2025/papers/Majumder_Switch-a-View_View_Selection_Learned_from_Unlabeled_In-the-wild_Videos_ICCV_2025_paper.pdf,,no,
"E-SAM: Training-Free Segment Every Entity Model",https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_E-SAM_Training-Free_Segment_Every_Entity_Model_ICCV_2025_paper.pdf,,no,
"ViewSRD: 3D Visual Grounding via Structured Multi-View Decomposition",https://openaccess.thecvf.com/content/ICCV2025/papers/Huang_ViewSRD_3D_Visual_Grounding_via_Structured_Multi-View_Decomposition_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.11261,yes,https://github.com/visualjason/ViewSRD
"UniPortrait: A Unified Framework for Identity-Preserving Single- and Multi-Human Image Personalization",https://openaccess.thecvf.com/content/ICCV2025/papers/He_UniPortrait_A_Unified_Framework_for_Identity-Preserving_Single-_and_Multi-Human_Image_ICCV_2025_paper.pdf,,no,
"FDPT: Federated Discrete Prompt Tuning for Black-Box Visual-Language Models",https://openaccess.thecvf.com/content/ICCV2025/papers/Wu_FDPT_Federated_Discrete_Prompt_Tuning_for_Black-Box_Visual-Language_Models_ICCV_2025_paper.pdf,,no,
"Exploiting Diffusion Prior for Task-driven Image Restoration",https://openaccess.thecvf.com/content/ICCV2025/papers/Kim_Exploiting_Diffusion_Prior_for_Task-driven_Image_Restoration_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.22459,yes,https://github.com/JaehaKim97/EDTR
"CE-FAM: Concept-Based Explanation via Fusion of Activation Maps",https://openaccess.thecvf.com/content/ICCV2025/papers/Kuroki_CE-FAM_Concept-Based_Explanation_via_Fusion_of_Activation_Maps_ICCV_2025_paper.pdf,,no,
"Dual-level Prototype Learning for Composite Degraded Image Restoration",https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Dual-level_Prototype_Learning_for_Composite_Degraded_Image_Restoration_ICCV_2025_paper.pdf,,no,
