title,pdf_url,arxiv_url,code_available,code_url
"Aggregation of Dependent Expert Distributions in Multimodal Variational Autoencoders",https://raw.githubusercontent.com/mlresearch/v267/main/assets/a-mancisidor25a/a-mancisidor25a.pdf,,yes,https://github.com/rogelioamancisidor/codevae
"Lightweight Protocols for Distributed Private Quantile Estimation",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25a/aamand25a.pdf,,yes,https://github.com/NynsenFaber/Quantile_estimation_with_adaptive_LDP
"Breaking the $n^1.5$ Additive Error Barrier for Private and Efficient Graph Sparsification via Private Expander Decomposition",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25b/aamand25b.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-aamand25b.md
"Improved Approximations for Hard Graph Problems using Predictions",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25c/aamand25c.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-aamand25c.md
"Graph Neural Network Generalization With Gaussian Mixture Model Based Augmentation",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abbahaddou25a/abbahaddou25a.pdf,,yes,https://github.com/abbahaddou/GRATIN
"LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abdulhai25a/abdulhai25a.pdf,,yes,https://github.com/abdulhaim/LMRL-Gym
"Task Generalization with Autoregressive Compositional Structure: Can Learning from $D$ Tasks Generalize to $D^T$ Tasks?",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abedsoltan25a/abedsoltan25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-abedsoltan25a.md
"Consensus Is All You Get: The Role of Attention in Transformers",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abella25a/abella25a.pdf,,yes,https://github.com/cyphylab/GPT-Consensus/tree/main
"Soup-of-Experts: Pretraining Specialist Models via Parameters Averaging",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ablin25a/ablin25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-ablin25a.md
"Parameters vs FLOPs: Scaling Laws for Optimal Sparsity for Mixture-of-Experts Language Models",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abnar25a/abnar25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-abnar25a.md
"Grokking in the Wild: Data Augmentation for Real-World Multi-Hop Reasoning with Transformers",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abramov25a/abramov25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-abramov25a.md
"EnIGMA: Interactive Tools Substantially Assist LM Agents in Finding Security Vulnerabilities",https://raw.githubusercontent.com/mlresearch/v267/main/assets/abramovich25a/abramovich25a.pdf,,yes,https://github.com/SWE-agent/SWE-agent/tree/v0.7
"Star Attention: Efficient LLM Inference over Long Sequences",https://raw.githubusercontent.com/mlresearch/v267/main/assets/acharya25a/acharya25a.pdf,,yes,https://github.com/NVIDIA/Star-Attention
"Geometric Median (GM) Matching for Robust k-Subset Selection from Noisy Data",https://raw.githubusercontent.com/mlresearch/v267/main/assets/acharya25b/acharya25b.pdf,,yes,https://github.com/anishacharya/GM-Matching
"Inverse Problem Sampling in Latent Space Using Sequential Monte Carlo",https://raw.githubusercontent.com/mlresearch/v267/main/assets/achituve25a/achituve25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-achituve25a.md
"An in depth look at the Procrustes-Wasserstein distance: properties and barycenters",https://raw.githubusercontent.com/mlresearch/v267/main/assets/adamo25a/adamo25a.pdf,,yes,https://github.com/DavideAdamo98/PW-bary
"From Mechanistic Interpretability to Mechanistic Biology: Training; Evaluating; and Interpreting Sparse Autoencoders on Protein Language Models",https://raw.githubusercontent.com/mlresearch/v267/main/assets/adams25a/adams25a.pdf,,yes,https://github.com/etowahadams/interprot
"Sparse Training from Random Initialization: Aligning Lottery Ticket Masks using Weight Symmetry",https://raw.githubusercontent.com/mlresearch/v267/main/assets/adnan25a/adnan25a.pdf,,yes,https://github.com/calgaryml/sparse-rebasin
"Design Considerations in Offline Preference-based RL",https://raw.githubusercontent.com/mlresearch/v267/main/assets/agarwal25a/agarwal25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-agarwal25a.md
"Optimal Fair Learning Robust to Adversarial Distribution Shift",https://raw.githubusercontent.com/mlresearch/v267/main/assets/agarwal25b/agarwal25b.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-agarwal25b.md
"FedECADO: A Dynamical System Model of Federated Learning",https://raw.githubusercontent.com/mlresearch/v267/main/assets/agarwal25c/agarwal25c.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-agarwal25c.md
"The Missing Alignment Link of In-context Learning on Sequences",https://raw.githubusercontent.com/mlresearch/v267/main/assets/agarwal25d/agarwal25d.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-agarwal25d.md
"Proto Successor Measure: Representing the Behavior Space of an RL Agent",https://raw.githubusercontent.com/mlresearch/v267/main/assets/agarwal25e/agarwal25e.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-agarwal25e.md
"AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aggarwal25a/aggarwal25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-aggarwal25a.md
"NextCoder: Robust Adaptation of Code LMs to Diverse Code Edits",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aggarwal25b/aggarwal25b.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-aggarwal25b.md
"FunBO: Discovering Acquisition Functions for Bayesian Optimization with FunSearch",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aglietti25a/aglietti25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-aglietti25a.md
"Understanding the difficulties of posterior predictive estimation",https://raw.githubusercontent.com/mlresearch/v267/main/assets/agrawal25a/agrawal25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-agrawal25a.md
"Optimal Sensor Scheduling and Selection for Continuous-Discrete Kalman Filtering with Auxiliary Dynamics",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ahdab25a/ahdab25a.pdf,,yes,https://github.com/MOHAMMADZAHD93/When2measureKF
"Online Laplacian-Based Representation Learning in Reinforcement Learning",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ahmed25a/ahmed25a.pdf,,yes,https://github.com/MaheedHatem/online_laplacian_representation
"Otter: Generating Tests from Issues to Validate SWE Patches",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ahmed25b/ahmed25b.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-ahmed25b.md
"General framework for online-to-nonconvex conversion: Schedule-free SGD is also effective for nonconvex optimization",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ahn25a/ahn25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-ahn25a.md
"GAPrompt: Geometry-Aware Point Cloud Prompt for 3D Vision Model",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ai25a/ai25a.pdf,,yes,https://github.com/zhoujiahuan1991/ICML2025-GAPrompt
"Vision Graph Prompting via Semantic Low-Rank Decomposition",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ai25b/ai25b.pdf,,yes,https://github.com/zhoujiahuan1991/ICML2025-VGP
"An Instrumental Value for Data Production and its Application to Data Pricing",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ai25c/ai25c.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-ai25c.md
"Simple Path Structural Encoding for Graph Transformers",https://raw.githubusercontent.com/mlresearch/v267/main/assets/airale25a/airale25a.pdf,,yes,https://github.com/LouisBearing/Graph-SPSE-Encoding
"Implicit degree bias in the link prediction task",https://raw.githubusercontent.com/mlresearch/v267/main/assets/aiyappa25a/aiyappa25a.pdf,,yes,https://github.com/skojaku/degree-corrected-link-prediction-benchmark
"Nesterov Method for Asynchronous Pipeline Parallel Optimization",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ajanthan25a/ajanthan25a.pdf,,yes,https://github.com/PluralisResearch/AsyncPP
"When; Where and Why to Average Weights?",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ajroldi25a/ajroldi25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-ajroldi25a.md
"The Surprising Effectiveness of Test-Time Training for Few-Shot Learning",https://raw.githubusercontent.com/mlresearch/v267/main/assets/akyurek25a/akyurek25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-akyurek25a.md
"A Tale of Two Structures: Do LLMs Capture the Fractal Complexity of Language?",https://raw.githubusercontent.com/mlresearch/v267/main/assets/alabdulmohsin25a/alabdulmohsin25a.pdf,,yes,https://huggingface.co/datasets/ibomohsin/gagle/tree/main
"NETS: A Non-equilibrium Transport Sampler",https://raw.githubusercontent.com/mlresearch/v267/main/assets/albergo25a/albergo25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-albergo25a.md
"Prediction via Shapley Value Regression",https://raw.githubusercontent.com/mlresearch/v267/main/assets/alkhatib25a/alkhatib25a.pdf,,yes,https://github.com/amrmalkhatib/ViaSHAP
"Differentiable Quadratic Optimization For the Maximum Independent Set Problem",https://raw.githubusercontent.com/mlresearch/v267/main/assets/alkhouri25a/alkhouri25a.pdf,,yes,https://github.com/ledenmat/pCQO-mis-benchmark
"SITCOM: Step-wise Triple-Consistent Diffusion Sampling For Inverse Problems",https://raw.githubusercontent.com/mlresearch/v267/main/assets/alkhouri25b/alkhouri25b.pdf,,yes,https://github.com/sjames40/SITCOM
"Direct Motion Models for Assessing Generated Videos",https://raw.githubusercontent.com/mlresearch/v267/main/assets/allen25a/allen25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-allen25a.md
"Towards Trustworthy Federated Learning with Untrusted Participants",https://raw.githubusercontent.com/mlresearch/v267/main/assets/allouah25a/allouah25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-allouah25a.md
"Subgroups Matter for Robust Bias Mitigation",https://raw.githubusercontent.com/mlresearch/v267/main/assets/alloula25a/alloula25a.pdf,,yes,https://github.com/anissa218/subgroups_bias_mit
"Aligning Multimodal Representations through an Information Bottleneck",https://raw.githubusercontent.com/mlresearch/v267/main/assets/almudevar25a/almudevar25a.pdf,,yes,https://github.com/antonioalmudevar/multimodal_ib
"Disentangling and Integrating Relational and Sensory Information in Transformer Architectures",https://raw.githubusercontent.com/mlresearch/v267/main/assets/altabaa25a/altabaa25a.pdf,,yes,https://github.com/awni00/dual-attention
"Explaining the role of Intrinsic Dimensionality in Adversarial Training",https://raw.githubusercontent.com/mlresearch/v267/main/assets/altinisik25a/altinisik25a.pdf,,yes,https://github.com/EnesAltinisik/SMAAT-25/tree/main
"The Butterfly Effect: Neural Network Training Trajectories Are Highly Sensitive to Initial Conditions",https://raw.githubusercontent.com/mlresearch/v267/main/assets/altintas25a/altintas25a.pdf,,yes,https://github.com/gsaltintas/lmc
"Continuously Updating Digital Twins using Large Language Models",https://raw.githubusercontent.com/mlresearch/v267/main/assets/amad25a/amad25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-amad25a.md
"Determinant Estimation under Memory Constraints and Neural Scaling Laws",https://raw.githubusercontent.com/mlresearch/v267/main/assets/ameli25a/ameli25a.pdf,,yes,https://github.com/mlresearch/v267/edit/gh-pages/_posts/2025-10-06-ameli25a.md
