title,pdf_url,arxiv_url,code_available,code_url
"Deploying Ten Thousand Robots: Scalable Imitation Learning for Lifelong Multi-Agent Path Finding",https://doi.org/10.1109/ICRA55743.2025,http://arxiv.org/abs/2410.21415v2,no,
"Computationally and Sample Efficient Safe Reinforcement Learning Using Adaptive Conformal Prediction",https://doi.org/10.1109/ICRA55743.2025,http://arxiv.org/abs/2503.17678v1,no,
"A Magnetic-Actuated Vision-Based Whisker Array for Contact Perception and Grasping",https://doi.org/10.1109/ICRA55743.2025.11127445,http://arxiv.org/abs/2503.00133v2,no,
"SIGMA: Sheaf-Informed Geometric Multi-Agent Pathfinding",https://doi.org/10.1109/ICRA55743.2025.11127445,http://arxiv.org/abs/2502.06440v2,yes,https://github.com/marmotlab/SIGMA
"Open-RGBT: Open-Vocabulary RGB-T Zero-Shot Semantic Segmentation in Open-World Environments",https://doi.org/10.1109/ICRA55743.2025.11127570,http://arxiv.org/abs/2410.06626v1,no,
"TDFANet: Encoding Sequential 4D Radar Point Clouds Using Trajectory-Guided Deformable Feature Aggregation for Place Recognition",https://doi.org/10.1109/ICRA55743.2025.11127570,http://arxiv.org/abs/2504.05103v1,maybe,
"Learning-Based Adaptive Navigation for Scalar Field Mapping and Feature Tracking",https://doi.org/10.1109/ICRA55743.2025.11128051,,no,
"DeepVL: Dynamics and Inertial Measurements-based Deep Velocity Learning for Underwater Odometry",https://doi.org/10.1109/ICRA55743.2025.11128051,http://arxiv.org/abs/2502.07726v1,no,
"Detecting Perception-Based Attacks using Visual Odometry: Inconsistency Modeling and Checking on Robotic States",https://doi.org/10.1109/ICRA55743.2025.11127434,,no,
"KARMA: Augmenting Embodied AI Agents with Long-and-Short Term Memory Systems",https://doi.org/10.1109/ICRA55743.2025.11127434,http://arxiv.org/abs/2409.14908v2,yes,https://github.com/WZX0Swarm0Robotics/KARMA/tree/master
"MJPR: Multi-Modal Joint Predictive Representation in Deep Reinforcement Learning",https://doi.org/10.1109/ICRA55743.2025.11127432,,no,
"Real-World Automated Vehicle Longitudinal Stability Analysis: Controller Design and Field Test",https://doi.org/10.1109/ICRA55743.2025.11127432,,no,
"MFSeg: Efficient Multi-Frame 3D Semantic Segmentation",https://doi.org/10.1109/ICRA55743.2025.11127648,http://arxiv.org/abs/2505.04408v1,maybe,
"Verifiably Following Complex Robot Instructions with Foundation Models",https://doi.org/10.1109/ICRA55743.2025.11127648,http://arxiv.org/abs/2402.11498v3,no,
"Tracking Everything in Robotic-Assisted Surgery",https://doi.org/10.1109/ICRA55743.2025.11127650,http://arxiv.org/abs/2409.19821v2,yes,https://github.com/zhanbh1019/SurgicalMotion
"A Neural Network-Based Framework for Fast and Smooth Posture Reconstruction of a Soft Continuum Arm",https://doi.org/10.1109/ICRA55743.2025.11127650,http://arxiv.org/abs/2409.12443v1,no,
"Optimize and Coordinate Multiple DMPs Under Constraints to Achieve a Collaborative Manipulation Task",https://doi.org/10.1109/ICRA55743.2025.11128041,,no,
"Air-FAR: Fast and Adaptable Routing for Aerial Navigation in Large-Scale Complex Unknown Environments",https://doi.org/10.1109/ICRA55743.2025.11128041,http://arxiv.org/abs/2409.11188v1,maybe,
"A Quantum Annealing Approach to Target Tracking",https://doi.org/10.1109/ICRA55743.2025.11127598,,no,
